plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2224,539.7603516,49.65706036,2698.801758,5,576.6310905,62.95741983,5766.310905,10
2225,539.7603516,49.65706036,2698.801758,5,576.6310905,62.95741983,5766.310905,10
2226,539.7603516,49.65706036,2698.801758,5,576.6310905,62.95741983,5766.310905,10
2227,493.8357231,42.21654034,2469.178616,5,514.0742786,54.22975508,5140.742786,10
2228,493.8357231,42.21654034,2469.178616,5,514.0742786,54.22975508,5140.742786,10
2229,493.8357231,42.21654034,2469.178616,5,514.0742786,54.22975508,5140.742786,10
2230,707.0266632,88.05785213,3535.133316,5,742.5668606,101.6755492,7425.668606,10
2231,707.0266632,88.05785213,3535.133316,5,742.5668606,101.6755492,7425.668606,10
2232,707.0266632,88.05785213,3535.133316,5,742.5668606,101.6755492,7425.668606,10
2233,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2234,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2235,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2236,836.0905136,40.48252886,4180.452568,5,837.5592888,43.24892889,8375.592888,10
2237,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2238,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2239,814.152713,45.72252389,4070.763565,5,813.043811,42.3862047,8130.43811,10
2240,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2241,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2242,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2243,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2244,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2245,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2246,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2247,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2248,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2249,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2250,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2251,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2252,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2253,290.1431618,14.09837023,1450.715809,5,301.0285872,24.21412543,3010.285872,10
2254,284.2688635,5.426016177,1421.344317,5,291.3620412,19.53177911,2913.620412,10
2255,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2256,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2257,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2258,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2259,468.7903488,56.1464124,2343.951744,5,501.4054436,59.20720474,5014.054436,10
2260,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2261,468.7903488,56.1464124,2343.951744,5,501.4054436,59.20720474,5014.054436,10
2262,733.9362427,93.42141507,3669.681213,5,813.2546898,108.9406596,8132.546898,10
2263,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2264,566.1856003,66.20898706,2830.928001,5,615.274955,75.04056241,6152.74955,10
2265,774.8970306,84.38770275,3874.485153,5,840.1405869,93.73489982,8401.405869,10
