plot_ID,arcticdem_elev,chelsa_glacial_extent,worldclim_bio_1,worldclim_bio_2,worldclim_bio_3,worldclim_bio_4,worldclim_bio_5,worldclim_bio_6,worldclim_bio_7,worldclim_bio_8,worldclim_bio_9,worldclim_bio_10,worldclim_bio_11,worldclim_bio_12,worldclim_bio_13,worldclim_bio_14,worldclim_bio_15,worldclim_bio_16,worldclim_bio_17,worldclim_bio_18,worldclim_bio_19,nasa_slope,nasa_aspect,nasa_tri,nasa_elev,soilgrids_bdod,soilgrids_cfvo,soilgrids_nitrogen,soilgrids_ocd,soilgrids_phh2o,soilgrids_silt,soilgrids_soc,soilgrids_cec,soilgrids_clay,chr_glim_lith,chr_gum_sed_type,chr_gum_grain_size,chr_gum_mineralogy,chr_gum_age,chr_gum_thickness
90087,NA,Inf,9.595832825,7.574999809,35.06944275,523.9685059,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.08333397,3.366666555,827,89,45,19.63422966,254,166,205,201,1.196622252,38.80082703,0.5,-2,0.899999976,11,8.5,5.5,6.199999809,44,98.69999695,37,34.4,su,Op,NA,NA,hu,NA
90088,NA,Inf,9.600000381,7.583333492,35.1080246,524.5907593,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.10000038,3.366666555,826,89,46,19.1131382,253,166,206,201,1.981582761,214.5766754,0.75,-3,0.899999976,9,8.5,5.5,6.199999809,44,101.6999969,34.5,34.8,su,Op,NA,NA,hu,NA
90089,NA,Inf,9.595832825,7.574999809,35.06944275,523.9685059,21.70000076,0.100000001,21.60000038,6.983333111,5.566666603,16.08333397,3.366666555,827,89,45,19.63422966,254,166,205,201,0.932615578,0,0.375,-4,0.899999976,11,8.5,5.5,6.199999809,44,98.69999695,36.9,32.9,su,Op,NA,NA,hu,NA
90090,NA,Inf,9.495833397,7.541666985,34.91512299,524.3674316,21.60000038,0,21.60000038,6.933333397,5.433333397,15.96666718,3.25,796,86,44,18.92758942,244,156,201,193,2.330458879,0,0.875,-2,0.899999976,8,7,5.199999809,6.5,44,101.5999985,34.9,25.7,su,Au,sc,NA,hu,NA
90091,NA,Inf,9.512499809,7.508333683,34.76080322,526.0406494,21.60000038,0,21.60000038,6.933333397,5.433333397,16,3.25,803,87,45,18.77683258,245,157,203,194,1.154118061,101.6545029,0.5,-2,0.899999976,8,7.199999809,5.400000095,6.400000095,41,93.09999847,37.8,29.8,su,Au,sc,NA,hu,NA
90092,NA,Inf,9.483333588,7.550000191,34.95370483,523.4689331,21.60000038,0,21.60000038,6.933333397,5.416666985,15.9333334,3.25,798,86,45,18.45511055,244,157,201,193,1.153876901,78.34302521,1,3,0.899999976,8,6.800000191,5.199999809,6.400000095,41,110.3000031,32.7,24.2,su,Op,NA,NA,hu,NA
90093,NA,Inf,9.512499809,7.491666794,34.84495926,524.8555298,21.60000038,0.100000001,21.5,6.933333397,5.450000286,15.98333359,3.266666651,800,87,44,19.21010017,245,156,203,193,0.932615578,0,0.375,-4,0.899999976,7,6.599999905,5.300000191,6.599999905,43,86.19999695,35,27.7,su,Au,sc,NA,hu,NA
90094,NA,Inf,9.483333588,7.550000191,34.95370483,523.4689331,21.60000038,0,21.60000038,6.933333397,5.416666985,15.9333334,3.25,798,86,45,18.45511055,244,157,201,193,1.398769021,1.27E-14,0.75,-2,0.899999976,8,6.800000191,5.199999809,6.400000095,41,110.3000031,32,23.7,su,Op,NA,NA,hu,NA
90095,NA,Inf,9.512499809,7.508333683,34.76080322,526.0406494,21.60000038,0,21.60000038,6.933333397,5.433333397,16,3.25,803,87,45,18.77683258,245,157,203,194,1.507030249,270,0.375,-1,0.899999976,8,7.199999809,5.400000095,6.400000095,41,93.09999847,37.4,27.6,su,Au,sc,NA,hu,NA
90096,NA,Inf,9.495833397,7.558333397,34.83102798,525.3416748,21.70000076,0,21.70000076,6.933333397,5.416666985,15.98333359,3.25,797,86,44,18.77812767,244,156,201,193,0.794462264,151.6958313,0.25,0,0.899999976,9,7.199999809,5.300000191,6.5,43,98.59999847,34.2,24.3,su,Au,sc,NA,hu,NA
90097,NA,Inf,9.524999619,7.516666889,34.79938126,526.5388794,21.70000076,0.100000001,21.60000038,10.30000019,5.450000286,16.03333282,3.266666651,804,86,44,19.08161926,245,157,203,195,0.794543445,331.684967,0.5,-2,0.899999976,7,7.400000095,5.400000095,6.400000095,40,88.80000305,37.2,30.7,su,Au,sc,NA,hu,NA
90098,NA,Inf,9.529167175,7.491666794,34.84496307,526.0636597,21.60000038,0.100000001,21.5,6.950000286,5.450000286,16.03333282,3.283333302,809,86,45,18.81590652,247,158,204,196,3.048622608,81.20926666,0.875,-4,0.899999976,7,7.400000095,5.300000191,6.400000095,39,88.59999847,34.8,35.5,su,Op,NA,NA,hu,NA
90099,NA,Inf,9.520833015,7.508333683,34.92248154,525.9124756,21.60000038,0.100000001,21.5,6.933333397,5.450000286,16.01666641,3.266666651,804,86,45,18.46372414,244,158,203,195,1.772147298,238.2548676,0.5,-4,0.899999976,8,7.5,5.400000095,6.400000095,40,94.80000305,37.1,31.3,su,Au,sc,NA,hu,NA
90100,NA,Inf,9.529167175,7.491666794,34.84496307,526.0636597,21.60000038,0.100000001,21.5,6.950000286,5.450000286,16.03333282,3.283333302,809,86,45,18.81590652,247,158,204,196,1.772298813,121.7420959,0.75,-4,0.899999976,7,7.400000095,5.300000191,6.400000095,39,88.59999847,35.8,29.6,su,Op,NA,NA,hu,NA
90101,NA,Inf,9.516666412,7.533333302,34.71582031,526.7150879,21.70000076,0,21.70000076,6.933333397,5.433333397,16.03333282,3.25,799,86,45,18.58246613,243,157,202,193,1.15403533,281.6553345,0.5,-3,0.899999976,9,7.400000095,5.400000095,6.5,42,97.80000305,35.7,29.6,su,Au,sc,NA,hu,NA
90102,NA,Inf,9.529167175,7.491666794,34.84496307,526.0636597,21.60000038,0.100000001,21.5,6.950000286,5.450000286,16.03333282,3.283333302,809,86,45,18.81590652,247,158,204,196,1.62373817,224.1247711,0.625,-7,0.899999976,7,7.400000095,5.300000191,6.400000095,39,88.59999847,35.5,32.1,su,Op,NA,NA,hu,NA
90103,NA,Inf,9.520833015,7.508333683,34.92248154,525.9124756,21.60000038,0.100000001,21.5,6.933333397,5.450000286,16.01666641,3.266666651,804,86,45,18.46372414,244,158,203,195,1.674679637,13.00015736,0.625,-3,0.899999976,8,7.5,5.400000095,6.400000095,40,94.80000305,37.2,27.5,su,Au,sc,NA,hu,NA
90104,NA,Inf,9.604166031,7.591666222,34.98463821,526.0075073,21.79999924,0.100000001,21.69999886,6.983333111,5.566666603,16.11666679,3.349999905,815,88,45,19.363657,249,163,204,198,0.441705942,58.13734818,0.75,-1,0.800000012,9,8.600000381,5.400000095,6.199999809,44,99.09999847,36.1,30.3,su,Op,NA,NA,hu,NA
90105,NA,Inf,9.604166031,7.591666222,34.98463821,526.0075073,21.79999924,0.100000001,21.69999886,6.983333111,5.566666603,16.11666679,3.349999905,816,88,45,19.4833107,250,163,204,198,1.149369359,101.7033463,0.25,-2,0.800000012,11,8.5,5.400000095,6.300000191,45,100.4000015,36.5,32.9,su,Op,NA,NA,hu,NA
90106,NA,Inf,9.599999428,7.583333015,34.94623566,525.7894287,21.79999924,0.100000001,21.69999886,6.983333111,5.566666603,16.11666679,3.349999905,820,88,45,19.2853241,251,164,205,199,1.324866533,301.8637695,0.375,-3,0.800000012,9,8.600000381,5.5,6.199999809,46,103.0999985,36.6,30.7,su,Op,NA,NA,hu,NA
90107,NA,Inf,9.604166031,7.591666222,34.98463821,526.0075073,21.79999924,0.100000001,21.69999886,6.983333111,5.566666603,16.11666679,3.349999905,816,88,45,19.4833107,250,163,204,198,0.793740273,208.2072296,0.25,-3,0.800000012,11,8.5,5.400000095,6.300000191,45,100.4000015,36.5,32.9,su,Op,NA,NA,hu,NA
90108,NA,Inf,10.47083378,8.608333588,33.10897446,668.9389648,25.29999924,-0.699999988,26,17.29999924,3.616666794,18.89999962,2.433333397,561,63,35,18.41211128,177,112,166,120,2.908403873,99.21894836,0.875,81,1.299999952,8,6.699999809,4.300000191,6.800000191,45,50,28.5,30,su,Au,sl,NA,hu,NA
90109,NA,Inf,10.41666698,8.533332825,32.82051086,668.7244873,25.20000076,-0.800000012,26,17.23333359,3.549999952,18.81666756,2.366666555,582,64,36,17.28209496,182,117,171,125,2.203629494,257.7883606,0.625,86,1.299999952,9,7.400000095,4.400000095,6.699999809,32,49.09999847,27,38.2,su,Au,lu,ca,pu,NA
90110,NA,Inf,10.44583321,8.724999428,33.30152512,670.354248,25.29999924,-0.899999976,26.19999886,17.21666718,3.566666603,18.86666679,2.366666555,599,67,37,17.55567551,187,120,176,128,2.603876829,74.42723846,1.375,93,1.299999952,8,7.099999905,4.300000191,6.800000191,30,54.59999847,29.7,31.8,su,Au,lu,ca,pu,NA
90111,NA,Inf,10.4416666,8.433333397,32.81452942,661.7910767,24.89999962,-0.800000012,25.69999886,17.16666603,3.650000095,18.76666641,2.483333349,567,65,34,20.87791252,186,109,171,117,1.864737272,180,1,84,1.299999952,9,6.900000095,4,7,54,38.40000153,29.7,27.5,su,Au,sl,NA,hu,NA
90112,NA,Inf,10.44583321,8.741666794,33.36513901,669.5162964,25.29999924,-0.899999976,26.19999886,17.21666718,3.566666603,18.86666679,2.383333445,589,66,36,17.60241699,184,119,173,125,2.886203051,345.6159058,1.25,83,1.299999952,7,8.399999619,4.199999809,6.699999809,32,52.59999847,29.8,34.4,su,Au,lu,ca,pu,NA
90113,NA,Inf,10.46249962,8.741666794,33.23827744,669.569458,25.39999962,-0.899999976,26.29999924,17.21666718,3.616666555,18.88333321,2.399999857,588,67,36,18.83903122,187,116,175,123,1.571669936,207.1339569,0.625,85,1.299999952,8,6.599999905,4.300000191,7.099999905,31,45,30.6,32.7,su,Au,lu,ca,pu,NA
90114,NA,Inf,10.41666698,8.800000191,33.46007538,667.836853,25.39999962,-0.899999976,26.29999924,17.14999962,3.583333254,18.81666756,2.383333206,581,66,36,18.85441017,185,116,173,123,0,90,0,83,1.299999952,8,7.800000191,4.099999905,7.099999905,31,48.90000153,29.2,36.8,su,Au,sl,NA,hu,NA
90115,NA,Inf,10.4333334,8.533333778,33.07493591,661.081543,25,-0.800000012,25.79999924,17.13333321,3.633333445,18.75,2.483333349,573,65,35,19.42327881,184,113,170,120,0,90,0,84,1.200000048,9,7.199999809,4.400000095,6.300000191,36,47.70000076,0,0,su,Wu,NA,NA,NA,NA
90116,NA,Inf,10.42083359,8.558333397,33.04375839,663.9258423,25.10000038,-0.800000012,25.89999962,17.13333321,3.599999905,18.76666641,2.433333397,575,66,35,19.67506409,185,113,171,120,3.583699465,315.6255493,1.375,87,1.299999952,9,7.099999905,4.300000191,6.400000095,35,44,30.3,36.6,su,Au,sl,NA,hu,NA
